Publication.Number;Publication.Year;IPC;Main.IPC.Subclass;Simple.Family;Count.of.Simple.Family.Members;Simple.Family.Cited.by.Count;Count.of.Other.References;Count.of.Cited.by.Patents;Count.of.Cites.Patents;Count.of.Cited.by.Patents.Within.3.years;Count.of.Cited.by.Patents.Within.5.years;Simple.Legal.Status;Count.of.claims;Quality.of.Family;Classifier
US9493237;2016;B64C39/00 | G05D1/00 | B60R1/00 | B64C39/02 | G09B9/12 | G09B9/02 | G06F3/01 | G09B9/10 | G09B9/16;B64C;CN105791754A | CN105791754B | JP2016210274A | JP5831893B1 | US20160325833A1 | US9493237;6;5;1;1;25;0;0;Active;3;High;Strong
US20180095459A1;2018;G05D1/00 | H04N5/00 | G06F3/00 | B64C39/00;G05D;US20160327950A1 | US20180095459A1 | US9798322;3;56;0;3;0;1;1;Pending;48;High;Strong
CN103231805B;2015;B64C39/00 | B64C3/56 | B64C17/06;B64C;CN103231805A | CN103231805B;2;14;1;0;4;0;0;Inactive;6;Low;Strong
US20180044010A1;2018;B64C27/82 | B64C27/06 | F04D17/04 | F04D29/42 | F04D25/16 | F04D27/00;B64C;CA2976077A1 | CN107719637A | EP3281863A1 | EP3281863B1 | US20180044010A1;5;1;0;1;0;0;0;Pending;23;High;Strong
US7198225;2007;B64D27/00 | B64C39/00 | B64C3/42 | B64C3/52 | B64C15/02 | B64C39/02 | B64C39/10 | B64D27/24 | B64D31/06 | G05D1/00 | H04B7/185;B64D;AU2001260981A1 | AU2001260982A1 | AU2001262907A1 | BRPI0108781A2 | BRPI0108782A2 | CA2400022A1 | CA2400041A1 | CA2400048A1 | CN1420828A | CN1420829A | CZ20023094A3 | CZ20023097A3 | EP1257465A2 | EP1257466A2 | JP2003522509A | JP2003523870A | JP2003523871A | MXPA02007883A | RU2002124855A | RU2002124856A | US20030141409A1 | US20050118952A1 | US6931247 | US7198225 | WO2001058756A2 | WO2001058756A3 | WO2001058756A9 | WO2001058757A2 | WO2001058757A3 | WO2001058758A2 | WO2001058758A3;31;195;4;42;60;18;24;Active;8;High;Strong
US20190002099A1;2019;B64C39/00 | B64C11/00;B64C;US10059443 | US20160304202A1 | US20170305545A1 | US20190002099A1 | US9708060 | WO2017011529A1;6;0;0;0;0;0;0;Pending;7;High;Strong
US9904901;2018;B64C39/00 | B64C39/02 | G06Q10/08 | G01C21/00 | G08G5/00;B64C;US20180005180A1 | US20180068265A1 | US9904901;3;1;1;0;9;0;0;Active;20;High;Strong
US6843452;2005;B64C9/00 | B64C39/12 | B64C39/00 | B64C3/00 | B64C3/50 | B64C3/58 | B64C13/16;B64C;BRPI0401971A2 | CA2470884A1 | CA2470884C | DE602004003294D1 | DE602004003294T2 | EP1488998A1 | EP1488998B1 | US20050001103A1 | US6843452;9;69;1;59;18;23;31;Active;22;High;Strong
US8960595;2015;B64C39/00 | B64C39/02;B64C;AT528209T | CN101516728A | CN101516728B | EP2046640A1 | EP2046640B1 | HK1129642A1 | JP2009545487A | JP5220742B2 | US20100102174A1 | US20130134263A1 | US8382029 | US8960595 | WO2008016928A1;13;29;28;0;30;0;0;Active;41;High;Strong
CN103256931B;2014;G01C21/20 | B64C19/02 | B64C39/00;G01C;CN103256931A | CN103256931B;2;15;4;0;3;0;0;Active;36;Low;Strong
CA2871005C;2013;B64C3/56 | B64C1/26 | B64C39/00;B64C;AU2013263285A1 | AU2013263285B2 | CA2871005A1 | CA2871005C | EP2849996A1 | EP2849996A4 | IL235554D0 | US20130306789A1 | US8899515 | WO2013172992A1;10;5;0;0;0;0;0;Active;10;High;Strong
US8132412;2012;F01K25/02 | B64C39/00 | B64D27/24;F01K;AU2008232716A1 | AU2008232716B2 | EP2139766A2 | US20080121755A1 | US20100162702A1 | US7637457 | US8132412 | WO2008121774A2 | WO2008121774A3;9;52;1;11;8;7;10;Active;5;High;Strong
US10037035;2018;B64C39/00 | B64C39/02 | G05D1/00 | G01C23/00 | B64D47/08 | G05D1/10 | G08G5/00;B64C;EP3121675A1 | US10037035 | US20170023941A1;3;0;9;0;23;0;0;Active;20;High;Strong
US9938011;2018;B64C39/00 | B64C39/02 | G05D1/00 | B64D41/00;B64C;US20170297707A1 | US9527588 | US9938011;3;57;3;0;22;0;0;Active;9;High;Strong
AU2010246430B2;2014;B64C37/00 | B62K17/00 | B60F5/02 | B64C39/00;B64C;AU2010246430A1 | AU2010246430B2 | DE102009056137A1 | EP2327571A2 | EP2327571A3 | EP2327571B1 | US20110163197A1 | US8528852;8;18;0;0;2;0;0;Active;18;High;Strong
US10005559;2018;B64C39/00 | B64D25/00 | B64C1/06 | B64C1/16 | B64C11/46 | B64D31/06 | G05D1/04;B64C;CN105109694A | CN105109694B | US10005559 | US20170305563A1 | WO2017035852A1;5;0;0;0;49;0;0;Active;5;High;Strong
US8838290;2014;B64C39/00 | G05D1/08 | G05D1/00;B64C;TW201235263A | US20120221176A1 | US8838290;3;5;2;0;7;0;0;Active;13;High;Strong
AU2017201641A1;2017;G01C21/36 | B64C39/00 | G05D1/04;G01C;AU2017201641A1 | CN107202571A | DK3220227T3 | EP3220227A1 | EP3220227B1 | ES2717794T3 | SG10201702186TA | US10222808 | US20170269613A1;9;1;0;0;0;0;0;Pending;58;High;Strong
CN103587686B;2016;B64C39/00 | B64C3/56 | B64F1/06;B64C;CN103587686A | CN103587686B;2;18;0;1;5;1;1;Active;3;Low;Strong
US10000285;2018;B64C39/00 | G05D1/02 | B66D1/60 | B66D1/12 | B64C39/02 | B64D1/02;B64C;AU2017322228A1 | CN109890701A | EP3494043A1 | US10000285 | US20180072417A1 | US20180257779A1 | WO2018048681A1;7;5;6;0;27;0;0;Active;20;High;Strong
CN101604830B;2011;H02G1/02 | B64D45/00 | B64C39/00 | G01N21/88 | G01J5/00 | G05B19/04 | G01R31/12;H02G;CN101604830A | CN101604830B;2;82;0;4;0;4;4;Active;6;Low;Strong
US9715236;2017;B64C39/00 | B64D47/08 | G05D1/00 | B64C39/02 | G05D1/10 | B05D1/00;B64C;CN106429992A | JP2017036102A | US20170038779A1 | US9715236;4;2;0;0;7;0;0;Active;5;High;Strong
CN106428554B;2018;B64C39/00;B64C;CN106428554A | CN106428554B;2;29;0;0;0;0;0;Active;8;Low;Strong
CN107310713A;2017;B64C3/54 | B64C3/56 | B64C3/18 | B64C39/00 | B64C39/02 | B64C25/04;B64C;CN107310713A | EP3239049A1 | EP3239049B1 | FR3050385A1 | FR3050385B1 | PL3239049T3 | US20170305526A1;7;0;0;0;7;0;0;Pending;20;High;Strong
CA2949115A1;2015;B64F1/02 | B64D3/00 | B64B1/06 | B64C39/00;B64F;CA2949115A1 | EP3154859A2 | JP2017517439A | US20150360797A1 | US9527604 | WO2015191804A2 | WO2015191804A3;7;17;0;0;0;0;0;Inactive;15;High;Strong
US20170105139A1;2017;H04W28/04 | B64C39/02 | H04B17/336 | H04W72/04 | H04B7/185 | H04L5/00;H04W;CN106464310A | US20150304885A1 | US20170105139A1 | US9479964 | WO2015161083A1;5;50;0;0;3;0;0;Inactive;19;High;Strong
CN104192308B;2016;B64C39/00 | B64D27/24;B64C;CN104192308A | CN104192308B;2;7;0;0;5;0;0;Active;3;Low;Strong
US9896200;2018;B64C29/00 | B64C39/02 | B64C5/02 | B64C3/38 | B64C11/50 | B64C25/32 | B64C39/00 | B64C11/28 | B64D27/26 | B64C9/14 | B64C3/40 | B64D27/24 | B64C25/52 | B64D27/02;B64C;US20160244158A1 | US20170057631A1 | US9475579 | US9896200;4;44;0;4;2;0;0;Active;20;High;Strong
US10175687;2019;B64C39/00 | G05D1/00 | B64C39/02 | G06K7/10;B64C;US10175687 | US20170174344A1 | US20170269588A1 | US20190094851A1 | US9663227 | WO2017109758A1;6;13;0;0;55;0;0;Active;26;High;Strong
CN105129088B;2017;B64C39/00;B64C;CN105129088A | CN105129088B;2;5;0;0;8;0;0;Active;9;Low;Strong
CN104724286B;2016;B64C39/00 | B64C11/00 | B64D47/08;B64C;CN104724286A | CN104724286B;2;8;0;0;5;0;0;Active;9;Low;Strong
US20080203221A1;2008;B64C13/00 | B64C13/24 | B64C13/42 | B64C13/50 | B64C39/00 | F16H25/20 | F16H35/10 | F16H57/02 | H02K7/116;B64C;EP1524188A2 | EP1524188A3 | US20050103928A1 | US20080203221A1 | US7100870 | US7410132;6;101;0;11;24;9;9;Active;23;High;Strong
JP2009196486A;2009;B64C13/20 | B64C39/02 | B64D1/18 | B64C27/04 | A01M7/00 | B64C39/00 | B64C27/00 | B64D1/00 | B64C13/00;B64C;JP2009196486A | KR100938804B1 | KR1020090090982A;3;19;0;14;1;3;4;Inactive;15;Low;Strong
US9714091;2017;B64C39/00 | B64C39/06 | B64C29/00;B64C;US20160009376A1 | US9517840 | US9714091;3;1;0;0;16;0;0;Active;18;High;Strong
US9625913;2017;B64C15/00 | B64C39/02 | G05D1/08 | G05D1/00 | B64C39/00 | B64C15/14 | G05D1/10 | B64C15/02;B64C;US20160209850A1 | US9625913;2;10;3;0;17;0;0;Active;13;High;Strong
AU2015258322A1;2016;B64F1/02 | B64C39/00 | B64F1/00;B64F;AU2015258322A1 | AU2015258322B2 | CN105620779A | EP3031721A1 | EP3031721B1 | IL242672D0 | US20160144980A1 | US9896222;8;6;0;0;0;0;0;Active;38;High;Strong
US9274521;2016;G05D1/10 | G05D1/00 | G06K9/46 | G08G5/00 | B64C39/00 | B64C39/02;G05D;US9274521;1;17;4;17;7;12;12;Active;21;High;Strong
US6698688;2004;B64C9/00 | B64C13/30 | B64C13/32 | B64C9/02 | B64C1/26 | B64C13/00 | B64C39/12 | B64C1/00 | B64C5/04 | B64C3/38 | B64C5/00 | B64C39/00 | B64C5/16 | B64C3/00 | F16C19/50 | F16C19/00 | B64C13/28;B64C;US6698688;1;22;0;22;12;3;4;Active;79;High;Strong
CA2898479A1;2014;B64D33/00 | B64C39/00 | B64D29/04 | B64D33/04 | B64D33/08;B64D;CA2898479A1 | EP2945866A2 | EP2945866A4 | US20140260187A1 | US9669939 | WO2014113444A2 | WO2014113444A3;7;5;0;0;0;0;0;Pending;4;High;Strong
US8870534;2014;B64C39/00 | B64C11/00 | F01D7/00;B64C;DE102008022384A1 | DE102008022384B4 | EP2282932A2 | EP2282932B1 | US20110150650A1 | US8870534 | WO2009135468A2 | WO2009135468A3;8;2;3;0;14;0;0;Active;15;High;Strong
US9789959;2017;B64C39/00 | B64C21/08 | B64D27/18 | B64C29/00 | B64C21/06 | B64C15/02 | B64C21/04 | B64C39/10;B64C;EP3016859A1 | EP3016859A4 | SE1300448A1 | US20160152334A1 | US9789959 | WO2014209198A1 | WO2014209198A4;7;6;0;3;8;0;0;Active;6;High;Strong
US7950603;2011;B64C27/10 | B64C27/16 | B64C11/48;B64C;US20090145997A1 | US20110101157A1 | US7559506 | US7950603;4;21;0;3;18;2;3;Active;10;High;Strong
US9981740;2018;B64C39/00 | G06F17/00 | B64C39/02;B64C;US20120035787A1 | US20180297701A1 | US9981740;3;15;0;0;18;0;0;Active;29;High;Strong
WO2018072757A1;2018;B64C15/02 | B64C17/06 | B64C39/00;B64C;CN106379534A | CN106379534B | WO2018072757A1;3;2;0;0;8;0;0;Undetermined;20;Low;Strong
US10101443;2018;G01S11/00 | B64C39/00 | B64C39/02 | G05D3/00 | G01S11/14 | B64C13/16;G01S;US10101443;1;0;0;0;5;0;0;Active;22;High;Strong
US8794564;2014;B64C25/32 | B64C39/00 | B64C27/00 | B64C25/36 | B64C27/08;B64C;EP2879953A2 | EP2879953A4 | US20140034776A1 | US8794564 | WO2014062275A2 | WO2014062275A3;6;104;1;49;16;33;36;Active;20;High;Strong
CN104787332B;2017;B64C39/00 | A63H27/18;B64C;CN104787332A | CN104787332B;2;4;0;0;5;0;0;Active;16;Low;Strong
US20120153087A1;2012;B64C39/00 | B64D47/08 | B64D37/02 | B64C7/00;B64C;EP2151379A2 | EP2151379A3 | EP2151379B1 | JP2010036889A | US20120153087A1;5;165;0;157;0;33;148;Inactive;21;High;Strong
US20170106963A1;2017;B64B1/02 | B64B1/66;B64B;AU2012229599A1 | AU2012229599B2 | CA2829782A1 | EP2712346A2 | EP2712346B1 | PT105565A | US20140001308A1 | US20170106963A1 | WO2012125052A2 | WO2012125052A3 | WO2012125052A4;11;11;0;0;6;0;0;Inactive;6;High;Strong
US9659502;2017;B64C39/00 | B64C39/02 | G08G5/00 | B60L11/18;B64C;US9659502;1;5;0;5;13;3;3;Active;14;High;Strong
US6550717;2003;B64C9/00 | B64C1/26 | B64C1/00 | B64D27/24 | B64C39/00 | B64C3/00 | B64C9/24 | B64C3/10 | B64C3/14 | B64C39/02 | B64C39/10 | B64D37/30 | B64D27/00 | B64D37/00 | B64D27/02 | B64C3/36 | H01M8/00 | B64C31/00;B64C;AU2001276816A1 | BRPI0110056A2 | CA2403269A1 | CA2403269C | CA2647011A1 | CA2647011C | CN1429165A | CZ20023274A3 | EP1280700A2 | JP2003530268A | JP2009179321A | JP4349771B2 | JP5123249B2 | MXPA02009089A | US20020070312A1 | US20020070313A1 | US6550717 | WO2001076941A2 | WO2001076941A3 | WO2001076941A9;20;89;2;43;27;11;17;Active;14;High;Strong
US20170361930A1;2017;B64C39/06 | B64D27/24 | B64C27/08;B64C;CN107521681A | CN206939072U | KR101716430B1 | US20170361930A1;4;0;0;0;0;0;0;Pending;12;High;Strong
CN105129087B;2017;B64C39/00;B64C;CN105129087A | CN105129087B;2;3;0;0;5;0;0;Active;22;Low;Strong
CN106184750B;2018;B64C39/00 | B64C29/00 | B64D27/16;B64C;CN106184750A | CN106184750B;2;1;0;0;6;0;0;Active;2;Low;Strong
US8948928;2015;B64C39/00 | B64C27/00 | B64C19/00 | B64C29/00 | B64C39/02 | B64D47/00;B64C;US20140316608A1 | US8948928;2;16;0;8;7;7;7;Inactive;19;High;Strong
CN101385903B;2011;A63H30/02 | A63H29/22 | A63H27/133 | B64C39/00;A63H;CN101385903A | CN101385903B;2;20;0;0;0;0;0;Inactive;12;Low;Strong
CN103600844B;2016;B64C39/00 | B64C3/14;B64C;CN103600844A | CN103600844B;2;4;0;0;5;0;0;Active;16;Low;Strong
US9739615;2017;G21C21/00 | G01C21/20 | G06F11/14 | G01C21/00 | B64C39/00;G21C;US20160274583A1 | US9739615;2;0;1;0;11;0;0;Active;12;High;Strong
JP6180765B2;2017;B64F1/36 | B64C39/00 | B64D27/24 | B60S5/00 | H01M2/10 | B60K1/04;B64F;EP2644438A2 | EP2644438A3 | EP2644438B1 | JP2013203394A | JP6180765B2;5;37;0;0;6;0;0;Active;55;Low;Strong
CN105836148B;2018;B64D47/00 | B64C39/00 | G06F3/01;B64D;CN105836148A | CN105836148B;2;3;0;0;5;0;0;Active;8;Low;Strong
US8660712;2014;B64C3/26 | B64C3/00 | B64C1/26;B64C;AU2010275027A1 | CA2779445A1 | CN102498037A | EP2456662A1 | JP2012533476A | KR1020120082394A | US20110046821A1 | US8660712 | WO2011011089A1;9;48;2;11;35;4;8;Active;14;High;Strong
US9663226;2017;G07C5/00 | B64C39/00 | B64C39/02 | H04W12/06;G07C;US20160280370A1 | US9663226;2;25;8;7;42;5;5;Active;20;High;Strong
US9958876;2018;G05D1/00 | B64D1/00 | B64C39/00 | B64D1/22 | B64C39/02 | G05D1/10 | G01S19/13;G05D;US20180032091A1 | US9958876;2;0;0;0;4;0;0;Active;20;High;Strong
US6691949;2004;B64C29/00 | B64C39/06 | B64C29/02 | B64C39/00 | B64C39/02 | B64C27/22;B64C;AU2002354809A1 | US20030052222A1 | US6691949 | WO2003004353A2 | WO2003004353A3 | WO2003004353A9;6;88;1;64;20;9;35;Active;67;High;Strong
RU2333138C2;2008;B64G1/14 | B64C39/00 | B64D5/00 | B64G1/00;B64G;DE10321333A1 | DE10321333B4 | FR2839946A1 | FR2839946B1 | IL156016A | IL156016D0 | ITMI2003000979A1 | RU2333138C2 | US20030218101A1 | US6926226;10;9;1;1;8;0;1;Undetermined;8;High;Strong
US9952960;2018;B64C39/02 | B64C39/00 | G06F9/44 | G05D1/02 | G06F11/36;B64C;US20180107582A1 | US9952960;2;0;15;0;12;0;0;Active;14;High;Strong
CN105947199B;2017;B64C39/00 | B64C39/06 | B64D33/08 | B64D27/02;B64C;CN105947199A | CN105947199B;2;1;0;0;3;0;0;Active;11;Low;Strong
CN105035321B;2017;B64C39/00 | B64C1/30 | B64F1/06;B64C;CN105035321A | CN105035321B;2;11;0;0;6;0;0;Active;8;Low;Strong
CN103600843B;2016;B64C39/00 | B64C3/00 | B64C1/22;B64C;CN103600843A | CN103600843B;2;3;0;0;7;0;0;Active;10;Low;Strong
US6659396;2003;B64C39/06 | B64C39/12 | B64C5/04 | B64C30/00 | B64C5/00 | B64C39/00 | B64C5/12 | B64C3/00 | B64C3/16 | B64G1/14 | B64G1/00 | B64C3/38;B64C;US6659396;1;15;1;15;24;5;9;Active;36;High;Strong
US8794566;2014;B64C25/32 | B64C39/00 | B64C27/00 | B64C27/08 | B64C25/36;B64C;EP2879952A2 | EP2879952A4 | US20140034775A1 | US8794566 | WO2014062276A2 | WO2014062276A3;6;95;1;47;16;18;22;Active;20;High;Strong
CN103287578B;2015;B64C39/00 | B64D27/24;B64C;CN103287578A | CN103287578B;2;5;0;0;3;0;0;Active;4;Low;Strong
US7510142;2009;B64C27/08 | B64C29/00 | B64C39/00 | B64C27/00;B64C;US20070200027A1 | US7510142 | WO2007103644A2 | WO2007103644A3;4;187;1;55;40;20;37;Active;35;High;Strong
US7641144;2010;B64C21/00;B64C;US20060266882A1 | US7641144 | WO2006116072A1;3;28;1;11;11;0;2;Active;12;High;Strong
CN104943864B;2016;B64D5/00 | B64B1/06 | B64C39/00;B64D;CN104943864A | CN104943864B;2;0;0;0;4;0;0;Active;7;Low;Strong
EP3107807A1;2016;B64C3/38 | B64C3/56 | B64C29/00 | B64C39/00 | B64C39/02;B64C;AT515456A1 | AT515456B1 | CN106232473A | EP3107807A1 | US20170057630A1 | WO2015124556A1;6;34;0;0;0;0;0;Inactive;19;High;Strong
US20180319488A1;2018;B64C27/20 | B64C39/02 | B64C39/00 | A63H27/00 | B64C1/06;B64C;US10059437 | US20160200415A1 | US20180319488A1;3;30;0;0;0;0;0;Pending;16;High;Strong
US6576880;2003;B64C39/00 | B64C39/02 | F42B15/00 | F42B15/10 | B64C3/51;B64C;AU2002230387A1 | US20030089820A1 | US6392213 | US6576880 | WO2002032762A2 | WO2002032762A3 | WO2002032762A9;7;132;1;33;12;9;14;Active;72;High;Strong
US8905358;2014;B64C39/00 | B64C3/58 | B64C39/02 | B64C39/10;B64C;IL195977A | IL195977D0 | US20110248123A1 | US8905358 | WO2010070631A1;5;6;1;2;13;2;2;Active;34;High;Strong
CN105457256B;2017;A63C17/01 | A63C17/12 | A63C17/14 | B64C39/00;A63C;CN105457256A | CN105457256B | US10245500 | US20180140933A1 | WO2017107329A1;5;4;0;0;5;0;0;Active;10;High;Strong
US6926235;2005;B64C1/00 | B64D7/00 | B64C29/00 | B64C39/00 | B64C39/02;B64C;US20050029400A1 | US6926235;2;32;0;13;14;8;11;Active;27;High;Strong
US7699261;2010;B64C39/00;B64C;US20080217486A1 | US7699261 | WO2008127792A2 | WO2008127792A3;4;34;1;25;23;5;11;Active;21;High;Strong
US6948681;2005;B64C39/00 | B64C39/02 | B64C1/00;B64C;EP1590239A2 | EP1590239A4 | EP1590239B1 | US20040135031A1 | US6948681 | WO2004063008A2 | WO2004063008A3;7;63;0;16;7;9;9;Active;6;High;Strong
CN101580127B;2013;B64C39/00 | B60K8/00 | B63H21/00 | B64D33/00 | A41D3/00;B64C;CN101580127A | CN101580127B;2;6;0;0;0;0;0;Active;10;Low;Strong
CN104787334B;2016;B64C39/00 | B64B1/66;B64C;CN104787334A | CN104787334B;2;5;0;0;8;0;0;Active;25;Low;Strong
KR100847474B1;2008;G08G1/14 | G08G1/04 | G08G1/01 | B64C39/00;G08G;KR100847474B1;1;8;0;8;4;0;2;Active;9;Low;Strong
CN108715223A;2018;B64C39/00 | B64D27/02;B64C;CN103754365A | CN103754365B | CN108715223A;3;1;0;0;0;0;0;Pending;3;Low;Strong
US7900868;2011;B64C39/00;B64C;US20090057493A1 | US7900868;2;27;2;14;10;8;8;Active;23;High;Strong
US9625886;2017;B64C27/00 | G05D1/06 | G05D3/00 | G05D1/00 | B64C39/00 | G06F7/00 | G05B15/02 | G06F17/00;B64C;US9625886;1;0;2;0;10;0;0;Active;40;High;Strong
US6830216;2004;B64C27/00 | B64C27/22 | B64D25/00 | B64C39/00 | B64D25/10 | B21K21/16 | B60R | B64D11/06 | B64D25/06;B64C;AU2003235503A1 | AU2003235503A8 | US20040056145A1 | US6830216 | WO2003095268A2 | WO2003095268A3;6;3;5;2;8;0;2;Active;35;High;Strong
US10073454;2018;G05D1/00 | B64C39/02 | G06K9/62 | G06T7/73 | H04N7/18 | G06K9/00 | B64C39/00;G05D;US10073454 | US20180164820A1;2;0;2;0;39;0;0;Active;18;High;Strong
EP3135108B1;2018;A01M29/06 | A01M29/00 | B64C39/00;A01M;EP3135108A1 | EP3135108B1 | ES2564085A2 | ES2564085B1 | ES2564085R1 | ES2671421T3 | US20170055517A1 | UY36092A | WO2015162330A1;9;4;0;0;13;0;0;Active;38;High;Strong
US8540485;2013;B64C27/32 | B64C27/54;B64C;EP2307671A2 | EP2307671A4 | EP2307671B1 | IL207861D0 | US20090226314A1 | US8540485 | WO2009109918A2 | WO2009109918A3 | WO2009109918A4;9;22;0;12;11;6;8;Active;15;High;Strong
US8991743;2015;B64C27/00 | B64C27/06 | B64C27/08 | B64C27/72 | B64C27/82 | B64C39/00 | B64D37/04 | B64D37/06;B64C;US8991743;1;12;0;12;11;10;10;Active;15;High;Strong
US6808144;2004;B64D17/34 | B64D17/00 | B64C39/00 | B64C39/02 | B64D17/02;B64D;US20030025038A1 | US6808144;2;65;0;58;8;9;17;Active;89;High;Strong
US9296478;2016;B64C39/04 | B64C39/00;B64C;DE102012002310A1 | US20130256451A1 | US9296478;3;4;0;0;2;0;0;Active;13;High;Strong
US6729577;2004;B64C39/06 | B64C30/00 | B64C39/00 | B64C27/22;B64C;AU2002227282A1 | EP1347915A2 | US20040056150A1 | US6729577 | WO2002046038A2 | WO2002046038A3;6;54;8;28;28;17;24;Active;70;High;Strong
AU2018100996A4;2018;B05B15/65 | B05B1/12 | B64C39/00 | B64D1/00;B05B;AU2018100996A4 | CN207403941U | JP3218196U;3;0;0;0;0;0;0;Active;11;Low;Strong
US9550566;2017;B64C29/00 | B64C27/50 | B64D27/16 | B64C27/20 | B64C39/06 | B64C15/12 | B64D37/04 | B64C3/18 | B64C27/82 | B64C39/00 | B64D41/00;B64C;US20160347448A1 | US9550566;2;2;0;1;22;1;1;Active;20;High;Strong
US9828094;2017;B64C39/00 | D06F29/00 | B64D1/22 | B64C39/02;B64C;US20170023947A1 | US9828094;2;21;0;12;36;2;2;Active;20;High;Strong
CN105235904B;2017;B64C39/00 | B64C1/00 | B64C3/00;B64C;CN105235904A | CN105235904B;2;4;0;0;6;0;0;Active;13;Low;Strong
US20140151494A1;2014;B64C27/20 | B64C27/26 | B64C29/00;B64C;EP2738091A1 | EP2738091B1 | US20140151494A1;3;9;0;9;16;5;7;Inactive;29;High;Strong
US6592073;2003;B64C11/00 | B64C25/00 | B64C39/04 | B64C39/06 | B64C25/54 | B64C25/34 | B64C39/00 | B64C35/00;B64C;US6592073;1;58;26;58;32;15;23;Active;30;High;Strong
US20150232178A1;2015;B64C29/00 | B64C37/00 | B64C3/38;B64C;CA2864580A1 | CN104470800A | EA201491528A1 | EA201491529A1 | EP2814734A1 | EP2814735A1 | GB201202441D0 | GB201214887D0 | IN7628DELNP2014A | US20150028155A1 | US20150232178A1 | WO2013120912A1 | WO2013120918A1;13;34;0;15;0;6;6;Inactive;21;High;Strong
US6478262;2002;B64C27/20 | B64C27/00 | B64C39/00 | B64C39/02 | G05D1/08 | G05D1/00;B64C;US6478262;1;22;0;22;11;3;5;Active;42;High;Strong
US6793171;2004;B64C17/00 | B64C39/00 | B64C39/02 | B64C39/10 | B64D11/00;B64C;US6793171;1;9;1;9;20;0;2;Active;38;High;Strong
US8186616;2012;B64C3/14 | B64C39/10 | B64C39/00;B64C;US20060226283A1 | US8186616;2;14;7;4;13;2;2;Active;28;High;Strong
US8596572;2013;B64C39/00;B64C;US8596572;1;1;0;1;7;1;1;Active;20;High;Strong
GB2537559A;2016;B64C27/26 | B64C3/38 | B64C27/22 | B64C39/00 | B64C39/02;B64C;GB201612813D0 | GB2537559A | US20150225071A1 | US9567075 | WO2015119972A1;5;25;0;0;5;0;0;Pending;14;High;Strong
CN105620750B;2017;B64C39/00;B64C;CN105620750A | CN105620750B;2;1;0;0;8;0;0;Active;5;Low;Strong
US9233748;2016;B64C37/00 | B64C5/16 | B64C39/00 | B64C3/38 | B64C27/08;B64C;US20130168489A1 | US9233748;2;16;1;3;12;3;3;Active;14;High;Strong
US6938854;2005;B64C1/26 | B64C39/12 | B64C1/00 | B64D29/02 | B64D29/00 | B64D27/18 | B64C30/00 | B64C3/32 | B64C39/00 | B64C3/00 | B64C3/10 | B64D27/00 | B64C7/00 | B64D27/02;B64C;BRPI0206608A2 | CA2434163A1 | CN1525920A | EP1351855A2 | EP1351855A4 | JP2004526619A | KR1020030085122A | US20020096598A1 | US20040016845A1 | US6575406 | US6938854 | WO2002079031A2 | WO2002079031A3;13;144;23;22;69;10;14;Active;33;High;Strong
US10118696;2018;G01C23/00 | G05D1/00 | G05D3/00 | G06F7/00 | G06F17/00 | B64C39/00 | B64C23/08 | B64C23/00 | B64C21/00 | B64C17/02 | F42B10/02 | F42B10/62;G01C;US10118696;1;0;0;0;2624;0;0;Active;20;High;Strong
US7185844;2007;B64C13/16 | B64C39/00 | G05D1/12;B64C;US20050242242A1 | US7185844;2;11;14;9;17;6;7;Inactive;60;High;Strong
US6672538;2004;B64C27/20 | B64C27/00 | B64D35/00 | B64C39/00 | B64C39/02 | B64D35/06 | B64C27/30;B64C;US20030218093A1 | US6672538;2;36;0;32;10;8;12;Active;39;High;Strong
US7093788;2006;B64C27/16;B64C;US20060011778A1 | US7093788;2;22;0;13;12;4;5;Active;49;High;Strong
US6431494;2002;B64C27/20 | B64C27/00 | B64C39/02 | B64C39/00 | B64C13/16;B64C;US6431494;1;55;0;55;7;8;27;Active;42;High;Strong
KR101627042B1;2016;B64C39/00 | B64C27/08 | B64C29/00;B64C;KR101627042B1 | KR1020160031602A;2;8;0;1;4;1;1;Active;6;Low;Strong
US6938853;2005;B64C33/00 | B64C33/02 | B64C39/00 | B64C39/02;B64C;US20040056149A1 | US6938853;2;51;3;34;7;17;23;Active;20;High;Strong
US20180244378A1;2018;B64C27/10 | B64C27/50 | B64D35/06 | B64D27/24;B64C;US20180244378A1 | US9896196;2;1;0;1;0;1;1;Pending;20;High;Strong
CN104691758B;2016;B64C39/00 | B64C1/00 | B64D27/24;B64C;CN104691758A | CN104691758B;2;3;0;0;8;0;0;Active;6;Low;Strong
CN104608927B;2016;B64C39/00 | B64D35/00 | B64C27/32;B64C;CN104608927A | CN104608927B;2;2;0;0;5;0;0;Active;9;Low;Strong
WO2018119720A1;2018;B64C39/00;B64C;CN107074353A | CN107074353B | CN109229329A | WO2018119720A1;4;0;0;0;4;0;0;Undetermined;23;Low;Strong
US6568630;2003;B64C27/20 | B64C29/00 | B64C11/00 | B64C27/00 | B64C39/00;B64C;US20030038213A1 | US6568630 | WO2003016134A1;3;97;0;73;9;27;37;Active;33;High;Strong
US6626398;2003;B64C39/06 | B64C39/00 | B64C39/02 | B64C3/38;B64C;US6626398;1;63;0;63;10;29;36;Active;25;High;Strong
